"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"001","sound","名詞","音、響き","The sound of the bell is loud.","そのベルの音は大きい。","/saʊnd/","noise","silence","1"
"002","round","副詞","〜の周りに（歌詞ではaroundの省略）","Earth goes round the sun.","地球は太陽の周りを回る。","/raʊnd/","around","","1"
"003","on and on","熟語","休みなく、延々と","She talked on and on about her cat.","彼女はネコについて延々と話し続けた。","-","continuously","briefly","-"
"004","believe","動詞","信じる","I believe in Santa Claus.","ぼくはサンタクロースを信じている。","/bɪˈliːv/","trust","doubt","1"
"005","way","名詞","道、やり方、自分の生き方","I did it my way.","私は自分のやり方でそれをやった。","/weɪ/","method, path","","1"
"006","live by","熟語","〜を頼りに生きる、〜に従って生きる","We live by these rules.","私たちはこのルールに従って生きている。","-","follow","ignore","-"
"007","no matter","熟語","たとえ〜でも","No matter how hard it is, I will try.","どんなに大変でも、私は挑戦する。","-","regardless","","-"
"008","cry","動詞","泣く、叫ぶ","Babies cry when they are hungry.","赤ちゃんはお腹が空くと泣く。","/kraɪ/","weep","laugh","1"
"009","gotta","略語","〜しなければならない (got to)","I gotta go home now.","もう家に帰らなきゃ。","/ˈɡɒtə/","have to","","-"
"010","stay","動詞","〜のままでいる、滞在する","Please stay here.","ここにいてください。","/steɪ/","remain","leave","1"
"011","true","形容詞","本当の、誠実な","Is that story true?","その話は本当？","/truː/","real","false","1"
"012","crew","名詞","仲間、チーム","The ship's crew worked hard.","その船の乗組員（仲間）は一生懸命働いた。","/kruː/","team, group","","3"
"013","soul","名詞","魂、心","Put your soul into the game.","試合に魂（気合い）を込めろ。","/soʊl/","spirit","body","2"
"014","role","名詞","役割、役目","What is your role in the play?","劇での君の役は何？","/roʊl/","part","","2"
"015","keep","動詞","保つ、続ける","Keep your room clean.","部屋をきれいにしておきなさい。","/kiːp/","hold","lose","1"
"016","own","形容詞","自分自身の","Use your own pen.","自分自身のペンを使いなさい。","/oʊn/","personal","","1"
"017","style","名詞","やり方、スタイル","I like his style of drawing.","彼の絵の描き方（スタイル）が好きだ。","/staɪl/","way, fashion","","1"
"018","existence","名詞","存在、生きていること","Do you believe in the existence of ghosts?","お化けの存在を信じる？","/ɪɡˈzɪstəns/","being","","4"
"019","reality","名詞","現実","Dreams can become reality.","夢は現実になり得る。","/riˈæləti/","fact","fantasy","2"
"020","complexity","名詞","複雑さ（歌詞では複雑な思い）","The complexity of the puzzle is high.","そのパズルの複雑さは高い（＝とても難しい）。","/kəmˈpleksəti/","complication","simplicity","8"
"021","creativity","名詞","創造性、新しいものを作る力","Drawing requires creativity.","絵を描くには創造性が必要だ。","/ˌkriːeɪˈtɪvəti/","imagination","","6"
"022","vessel","名詞","器、容器（歌詞では自分の体や心を指す）","This vessel holds water.","この器は水を入れるためのものだ。","/ˈvesl/","container","","5"
"023","inside","名詞/副詞","内側、中身","What is inside the box?","箱の中身は何？","/ˌɪnˈsaɪd/","interior","outside","1"
"024","wrestle","動詞","格闘する、一生懸命取り組む","Sumo wrestlers wrestle in the ring.","相撲取りは土俵で戦う。","/ˈresl/","fight, struggle","","5"
"025","light","名詞","光","The sun gives us light.","太陽は私たちに光をくれる。","/laɪt/","shine","darkness","1"
"026","flight","名詞","飛ぶこと、飛行","The bird took flight.","鳥が飛び立った。","/flaɪt/","flying","landing","2"
"027","inject","動詞","注入する、注ぎ込む","The doctor will inject the medicine.","お医者さんが薬を注射（注入）するよ。","/ɪnˈdʒekt/","insert","extract","8"
"028","hype","名詞","ワクワクさせる宣伝、盛り上がり","Don't believe the hype.","誇大広告（大げさな噂）を信じるな。","/haɪp/","excitement","","-"
"029","matter","動詞","重要である、問題になる","It doesn't matter if you are slow.","遅くても問題ないよ。","/ˈmætər/","count","","1"
"030","display","動詞","見せる、展示する","They display pictures on the wall.","彼らは壁に絵を飾っている。","/dɪˈspleɪ/","show","hide","2"
"031","dismay","名詞","がっかりすること、狼狽","He looked at his bad score in dismay.","彼は悪い点数を見てがっかりした。","/dɪˈsmeɪ/","shock, disappointment","joy","7"
"032","stand up","熟語","立ち上がる","Stand up and fight!","立ち上がって戦え！","-","rise","sit down","-"
"033","straight","副詞","まっすぐに","Go straight down this road.","この道をまっすぐ行きなさい。","/streɪt/","directly","crooked","1"
"034","portray","動詞","描く、表現する","The actor portrays a hero.","その俳優はヒーローを演じている（表現している）。","/pɔːrˈtreɪ/","depict","","5"
"035","live it up","熟語","大いに楽しむ、贅沢に過ごす","Let's go to the party and live it up!","パーティーに行って大いに楽しもう！","-","enjoy","","-"
"036","doubt","名詞","疑い","I have no doubt he will win.","彼が勝つことに疑いはない（＝きっと勝つ）。","/daʊt/","suspicion","belief","2"
"037","scar","名詞","傷跡、心の傷","The cut left a small scar on his arm.","切り傷が腕に小さな跡を残した。","/skɑːr/","mark","","4"
"038","hit","名詞","大成功、ヒット","That song is a big hit.","あの歌は大ヒットしている。","/hɪt/","success","failure","1"
"039","benefit","動詞","利益を得る、ためになる","Reading will benefit you.","読書は君のためになるよ。","/ˈbenɪfɪt/","gain","lose","3"
"040","spit","動詞","（言葉を）吐く、話す","Don't spit on the ground.","地面につばを吐いてはいけない（歌詞では「言葉を吐き出す」）。","/spɪt/","spew","swallow","4"
"041","quit","動詞","やめる、あきらめる","Never quit trying.","挑戦するのを決してやめるな。","/kwɪt/","stop, give up","continue","3"
"042","check","動詞","確認する、調べる","Check your answers again.","もう一度答えを確認して。","/tʃek/","examine","ignore","1"
"043","head","名詞","頭、考え","Use your head.","頭（考え）を使いなさい。","/hed/","mind","feet","1"
"044","give away","熟語","手放す、（秘密などを）明かす","Don't give away the secret.","秘密をバラさないで。","-","reveal","keep","-"
"045","lift up","熟語","持ち上げる、元気づける","Help me lift up this box.","この箱を持ち上げるのを手伝って。","-","raise","lower","-"
"046","heed","名詞/動詞","注意（する）","Take heed of the warning.","警告に注意しなさい。","/hiːd/","attention","ignore","7"
"047","indeed","副詞","本当に、確かに","It is very cold indeed.","本当にとても寒い。","/ɪnˈdiːd/","really","","2"
"048","short","形容詞","短い","Summer vacation is too short.","夏休みは短すぎる。","/ʃɔːrt/","brief","long","1"
"049","regret","動詞","後悔する","I regret eating too much cake.","ケーキを食べ過ぎたことを後悔している。","/rɪˈɡret/","rue","welcome","3"
"050","bet","名詞","賭け、間違いのないこと","It's a sure bet.","それは間違いないことだ。","/bet/","gamble","","2"
"051","jump","動詞","跳ぶ、ジャンプする","Can you jump over the puddle?","水たまりを飛び越えられる？","/dʒʌmp/","leap","","1"
"052","ground","名詞","地面、土","Sit on the ground.","地面に座りなさい。","/ɡraʊnd/","earth","sky","1"
"053","free","動詞","自由にする、解放する","Free the bird from the cage.","カゴから鳥を逃して（自由にして）あげよう。","/friː/","release","trap","1"
"054","mind","名詞","心、精神","Keep that in mind.","それを心に留めておいて（覚えておいて）。","/maɪnd/","brain","","1"
"055","rhyme","名詞","韻（いん）、リズムのある言葉","Cat and Hat are a rhyme.","Cat（猫）とHat（帽子）は韻を踏んでいる。","/raɪm/","verse","","6"
"056","reach out","熟語","手を伸ばす、援助を求める","Reach out if you need help.","助けが必要なら手を差し伸べて（求めて）。","-","extend","","-"
"057","extend","動詞","伸ばす、広げる","Extend your arms.","腕を伸ばして。","/ɪkˈstend/","stretch","shorten","3"
"058","grab","動詞","つかむ","Grab the rope!","ロープをつかめ！","/ɡræb/","seize","drop","3"
"059","sad","形容詞","悲しい","The movie made me sad.","その映画で私は悲しくなった。","/sæd/","unhappy","happy","1"
"060","storm","名詞","嵐","A big storm is coming.","大きな嵐が来ている。","/stɔːrm/","tempest","calm","2"
"061","calm","名詞/形容詞","穏やかさ、静けさ","The sea is calm today.","今日の海は穏やかだ。","/kɑːm/","peace","storm","3"
"062","dust","名詞","ちり、ほこり","Clean the dust off the table.","テーブルのほこりを拭き取って。","/dʌst/","dirt","","2"
"063","settle","動詞","落ち着く、積もる","The dust settled on the floor.","ほこりが床に積もった（落ち着いた）。","/ˈsetl/","land","fly","3"
"064","bomb","動詞/名詞","爆撃する、爆弾","They dropped a bomb.","彼らは爆弾を落とした。","/bɒm/","attack","","3"
