番号,単語,訳,品詞,例文,訳文
1,being,存在; 生き物,名詞,Human beings are social animals.,人間は社会的な生き物である。(AI生成)
2,government,政府; 統治,名詞,The government announced a new tax policy.,政府は新しい税制を発表した。(AI生成)
3,found,を設立する,動詞,The university was founded in 1900.,その大学は1900年に設立された。(AI生成)
4,given,~を仮定[考慮]すれば,前置詞,"Given his age, he is remarkably active.",彼の年齢を考慮すれば、彼は驚くほど活動的だ。(AI生成)
5,state,を述べる; 表明する,動詞,Please state your name and address clearly.,名前と住所をはっきりと述べてください。(AI生成)
6,council,(地方)議会,名詞,The city council voted on the new development plan.,市議会は新しい開発計画について投票を行った。(AI生成)
7,available,入手できる; 利用できる,形容詞,Tickets are still available for the concert.,コンサートのチケットはまだ入手可能だ。(AI生成)
8,saw,のこぎり,名詞,He used a saw to cut the wood.,彼は木を切るためにのこぎりを使った。(AI生成)
9,minister,大臣; 聖職者,名詞,The Prime Minister will visit the UK next week.,首相は来週イギリスを訪問する予定だ。(AI生成)
10,means,手段, 方法,名詞,Public transport is a convenient means of travel.,公共交通機関は便利な移動手段だ。(AI生成)
11,therefore,それ故に, 従って,副詞,"I think, therefore I am.",我思う、故に我あり。(AI生成)
12,evidence,証拠; 証言,名詞,There is no scientific evidence to support this claim.,この主張を裏付ける科学的証拠はない。(AI生成)
13,range,範囲, 領域,名詞,The shop offers a wide range of products.,その店は幅広い品揃えを提供している。(AI生成)
14,thus,このように; 従って,副詞,He studied hard, and thus passed the exam.,彼は一生懸命勉強し、したがって試験に合格した。(AI生成)
15,individual,個々の; 個人の,形容詞,Each individual student has different needs.,個々の生徒には異なるニーズがある。(AI生成)
16,committee,委員会,名詞,The committee decided to postpone the meeting.,委員会は会議を延期することを決定した。(AI生成)
17,indeed,本当に; 実に; 実際は,副詞,It was indeed a remarkable achievement.,それは実に素晴らしい功績だった。(AI生成)
18,authority,権威; 権限; 権威者; 当局,名詞,She is an authority on marine biology.,彼女は海洋生物学の権威だ。(AI生成)
19,union,(労働)組合,名詞,The trade union demanded higher wages.,労働組合は賃上げを要求した。(AI生成)
20,increase,増える, 増加する; 高まる,動詞,The population of the city continues to increase.,その都市の人口は増加し続けている。(AI生成)
21,issue,問題; 争点,名詞,Environmental issues are a global concern.,環境問題は世界的な関心事だ。(AI生成)
22,lord,貴族; ~卿; (the Lord) 神,名詞,The House of Lords debated the bill.,貴族院はその法案について審議した。(AI生成)
23,various,さまざまな,形容詞,There are various reasons for his decision.,彼の決断にはさまざまな理由がある。(AI生成)
24,basis,基礎; 根拠,名詞,On a daily basis, I exercise for 30 minutes.,日常的に（毎日）、私は30分運動する。(AI生成)
25,despite,~にもかかわらず,前置詞,He went to work despite his illness.,彼は病気にもかかわらず仕事に行った。(AI生成)
26,structure,構造, 構成,名詞,We studied the structure of the human brain.,私たちは人間の脳の構造を学んだ。(AI生成)
27,capital,首都; 資本,名詞,London is the capital of the United Kingdom.,ロンドンはイギリスの首都だ。(AI生成)
28,per,~につき, ~ごとに,前置詞,The speed limit is 60 miles per hour.,制限速度は時速60マイルだ。(AI生成)
29,agreement,合意; 協定,名詞,They finally reached an agreement.,彼らはついに合意に達した。(AI生成)
30,analysis,分析, 分解,名詞,Further analysis of the data is required.,データのさらなる分析が必要だ。(AI生成)
31,population,人口,名詞,The world population is over 8 billion.,世界人口は80億を超えている。(AI生成)
32,legal,法律の; 合法的な,形容詞,You should seek legal advice.,あなたは法的助言を求めるべきだ。(AI生成)
33,theory,理論, 学説,名詞,Darwin's theory of evolution is famous.,ダーウィンの進化論は有名だ。(AI生成)
34,growth,増加, 成長,名詞,Economic growth has slowed down recently.,最近、経済成長は鈍化している。(AI生成)
35,relationship,関係, 関連,名詞,They have a strong working relationship.,彼らは強い信頼関係で仕事をしている。(AI生成)
36,property,財産; 特性,名詞,This building is private property.,この建物は私有財産だ。(AI生成)
37,throughout,~の至る所に,前置詞,The news spread throughout the country.,そのニュースは国中に広まった。(AI生成)
38,significant,重要な; 意義深い; 相当の,形容詞,This is a significant change in policy.,これは政策における重要な変更だ。(AI生成)
39,income,収入, 所得,名詞,He has a steady income from his job.,彼には仕事からの安定した収入がある。(AI生成)
40,contract,契約; 協定,名詞,She signed a three-year contract.,彼女は3年契約に署名した。(AI生成)
41,consider,を~と見なす; を熟考する,動詞,I consider him to be a good friend.,私は彼を良き友人だと思っている。(AI生成)
42,attempt,を試みる,動詞,He attempted to climb the mountain alone.,彼は単独でその山に登ろうと試みた。(AI生成)
43,specific,特定の; 明確な,形容詞,Can you be more specific about the problem?,その問題についてもっと具体的に言ってもらえますか？(AI生成)
44,leading,主要な; 第一級の,形容詞,She is a leading expert in her field.,彼女はその分野の第一人者（主要な専門家）だ。(AI生成)
45,potential,潜在力, 可能性,名詞,The new technology has great potential.,その新技術には大きな可能性がある。(AI生成)
46,access,接近; 進入路,名詞,Students have free access to the library.,学生は図書館を自由に利用できる（アクセス権がある）。(AI生成)
47,independent,独立した,形容詞,India became independent in 1947.,インドは1947年に独立した。(AI生成)
48,benefit,恩恵; 利益; 手当,名詞,Regular exercise has many health benefits.,定期的な運動には多くの健康的利益がある。(AI生成)
49,employment,職; 雇用,名詞,The factory provides employment for local people.,その工場は地元の人々に雇用を提供している。(AI生成)
50,influence,影響; 効果,名詞,His speech had a great influence on the audience.,彼のスピーチは聴衆に大きな影響を与えた。(AI生成)
51,concern,に関係する; を心配させる,動詞,The issue concerns the safety of the public.,その問題は公衆の安全に関係している。(AI生成)
52,application,申請; 適用,名詞,Please submit your application by Friday.,金曜日までに申請書を提出してください。(AI生成)
53,suppose,と思う; 推測する,動詞,I suppose he will come to the party.,彼はパーティーに来ると思う。(AI生成)
54,opportunity,機会; 好機,名詞,I had the opportunity to study abroad.,私は留学する機会を得た。(AI生成)
55,effective,効果的な; 有効な,形容詞,This medicine is effective against headaches.,この薬は頭痛に効果的だ。(AI生成)
56,region,地域; 地帯,名詞,This region is famous for its wine.,この地域はワインで有名だ。(AI生成)
57,election,選挙; 当選,名詞,The general election will be held next month.,総選挙は来月行われる。(AI生成)
58,parliament,議会; 会期,名詞,The British Parliament consists of two houses.,英国議会は二院制だ。(AI生成)
59,review,調査; 検討,名詞,We need to conduct a review of our procedures.,私たちは手順の再検討を行う必要がある。(AI生成)
60,species,(生物の)種,名詞,Many species of birds migrate in winter.,多くの種類の鳥が冬に渡りを行う。(AI生成)
61,supply,を供給する; 支給する,動詞,The reservoir supplies water to the whole city.,その貯水池は全市に水を供給している。(AI生成)
62,moving,感動的な,形容詞,It was a very moving speech.,それはとても感動的なスピーチだった。(AI生成)
63,considerable,かなりの; 相当の,形容詞,He spent a considerable amount of money.,彼はかなりの金額を使った。(AI生成)
64,physical,身体の; 物質的な,形容詞,Regular physical exercise is important for health.,定期的な身体運動は健康に重要だ。(AI生成)
65,complex,複雑な; 複合(体)の,形容詞,The problem is more complex than we thought.,その問題は私たちが考えていたより複雑だ。(AI生成)
66,responsibility,責任,名詞,It is your responsibility to lock the door.,ドアに鍵をかけるのはあなたの責任だ。(AI生成)
67,opposition,反対; 敵対,名詞,There was strong opposition to the new law.,新しい法律に対して強い反対があった。(AI生成)
68,division,分割; 分離,名詞,The division of labor is efficient.,分業は効率的だ。(AI生成)
69,surface,表面,名詞,The surface of the lake was calm.,湖の表面は穏やかだった。(AI生成)
70,equipment,設備; 備品,名詞,We need new equipment for the laboratory.,私たちは実験室用の新しい設備が必要だ。(AI生成)
