"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"1","the","冠詞","その","The cat sat on the mat.","猫はマットの上に座っている。","","","",""
"2","be","動詞","なれ","To be or not to be.","存在するか、しないか。","","","",""
"3","and","接続詞","そして","Salt and pepper are on the table.","塩とこしょうはテーブルの上にある。","","","",""
"4","of","前置詞","の","A slice of pie, please.","パイの一切れをください。","","","",""
"5","to","前置詞","に","I went to the store.","私は店に行きました。","","","",""
"6","a","冠詞","一つの","She has a pen.","彼女はペンを持っている。","","","",""
"7","in","前置詞","で","The keys are in the bowl.","鍵はボウルの中にあります。","","","",""
"8","have","動詞","持っている","I have a dream.","私には夢があります。","","","",""
"9","it","代名詞","それ","Pass it to me.","それを私に渡して。","","","",""
"10","you","代名詞","あなた","Can you help me?","私を助けてくれますか？","","","",""
"11","he","代名詞","彼","He is my brother.","彼は私の兄弟です。","","","",""
"12","for","前置詞","のために","This gift is for you.","この贈り物はあなたのためです。","","","",""
"13","they","代名詞","彼らは","They went to the park.","彼らは公園に行きました。","","","",""
"14","not","否定詞","ない","I’m not ready yet.","まだ準備ができていません。","","","",""
"15","that","接続詞/代名詞","それ","I believe that it’s true.","それは本当だと信じています。","","","",""
"16","we","代名詞","私たちは","We are in this together.","私たちはこれを一緒にやっています。","","","",""
"17","on","前置詞","の上","The book is on the shelf.","本は棚の上にあります。","","","",""
"18","with","前置詞","と","I’ll go with you.","私はあなたと一緒に行きます。","","","",""
"19","this","代名詞","これ","This is my favorite song.","これは私のお気に入りの曲です。","","","",""
"20","I","代名詞","私","I love ice cream.","私はアイスクリームが大好きです。","","","",""
"21","do","動詞","する","What do you want to do?","あなたは何をしたいのですか？","","","",""
"22","as","接続詞/前置詞","として","Quick as a fox.","キツネのように素早い。","","","",""
"23","at","前置詞","で","Look at the stars.","星を見て。","","","",""
"24","she","代名詞","彼女","She wears a red dress.","彼女は赤いドレスを着ています。","","","",""
"25","but","接続詞","しかし","I like tea, but not coffee.","私はお茶は好きだけど、コーヒーは好きじゃない。","","","",""
"26","from","前置詞","から","I’m from New York.","私はニューヨーク出身です。","","","",""
"27","by","前置詞","による","The story was written by her.","その物語は彼女によって書かれました。","","","",""
"28","will","助動詞","意思","I will be there.","私はそこにいるでしょう。","","","",""
"29","or","接続詞","または","Is it black or white?","それは黒ですか、白ですか？","","","",""
"30","say","動詞","言う","They say it’s going to rain.","雨が降ると言っています。","","","",""
"31","go","動詞","行く","Let’s go to the beach.","ビーチに行こう。","","","",""
"32","so","接続詞/副詞","それで","I’m so happy for you.","あなたのことをとても喜んでいます。","","","",""
"33","all","代名詞","全て","All is well.","すべて順調です。","","","",""
"34","if","接続詞","もし","If it rains, we’ll stay.","雨が降ったら、私たちは残ります。","","","",""
"35","one","代名詞","1つ","One more cookie, please.","クッキーをもう一つください。","","","",""
"36","would","助動詞","します","Would you like some tea?","お茶はいかがですか？","","","",""
"37","about","前置詞","について","Tell me about your day.","あなたの一日について教えてください。","","","",""
"38","can","助動詞","できる","Can you open the jar?","その瓶を開けることができますか？","","","",""
"39","which","代名詞","どれの","Which book do you prefer?","どの本がお好みですか？","","","",""
"40","there","代名詞","そこには","There is a cat on the roof.","屋根の上に猫がいます。","","","",""
"41","know","動詞","知る","I know the answer.","私は答えを知っています。","","","",""
"42","more","副詞","もっと","I want more candy.","もっとキャンディーが欲しい。","","","",""
"43","get","動詞","得る","Let’s get a pizza.","ピザを取りに行こう。","","","",""
"44","who","代名詞","誰が","Who is at the door?","ドアには誰がいますか？","","","",""
"45","like","前置詞/動詞","のように","I like chocolate.","私はチョコレートが好きです。","","","",""
"46","when","接続詞","いつ","Call me when you arrive.","着いたら私に電話してください。","","","",""
"47","think","動詞","考える","I think it’s a good idea.","それはいい考えだと思います。","","","",""
"48","make","動詞","作る","Make a wish.","願い事をして。","","","",""
"49","time","名詞","時間","Time flies when you’re having fun.","楽しい時は時間があっという間に過ぎていきます。","","","",""
"50","see","動詞","見る","I can see the stars.","星が見えます。","","","",""
"51","what","代名詞","何","What is your name?","お名前は何ですか？","","","",""
