"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"1","reputation","名詞","評判、世評","The restaurant was popular due to its excellent reputation.","そのレストランは評判が高いことで有名だった。","/rèpjutéifən/","fame, prestige","","4"
"2","settlement","名詞","調停、解決、決着、合意","The lawyers mediated a settlement between labour and management.","弁護士らは労働者と経営陣との調停を仲立ちした。","/sétlmənt/","agreement","","4"
"3","gallery","名詞","画廊、美術館; (劇場の)客席、観客","The gallery features the work of local artists.","その画廊は地元の芸術家たちの作品を取り扱う。","/gæləri/","museum","","4"
"4","scrap","名詞","スクラップ、くず; 切れ端","I bought this rear-view mirror for cheap from a scrap dealer.","このバックミラーはスクラップ業者から安く買った。","/skræp/","junk","","5"
"5","perplex","動詞","～を当惑させる、混乱させる; (問題など)を複雑にする","The optical illusion perplexed all the observers.","その光学的錯覚は見る者皆を惑わせた。","/pǝpléks/","confuse, puzzle","","7"
"6","diverse","形容詞","多様な、さまざまな、種々の","The school was very diverse, with students from many different backgrounds.","この学校は多様性に富んでおり、さまざまな経歴をもつ学生がいた。","/daivá:s/","different, various","","6"
"7","injustice","名詞","不公平、不正","Social and political injustices still exist, even in democratic societies.","民主主義社会においても、社会的および政治的な不公平は存在している。","/indzástis/","unfairness, wrong, inequality","","7"
"8","detach","動詞","～を分離する、取り外す、引き離す","The lorry driver detached his trailer before driving off.","トラック運転手は走り去る前にトレーラーを切り離した。","/ditætʃ/","disengage, separate, remove, isolate","","7"
"9","indispensable","形容詞","必要不可欠な、欠くことのできない","He would never be fired as he was indispensable to the running of the company.","会社の運営には欠かせない人物だったので、彼がクビになる恐れはなかった。","/indispénsəbl/","essential, imperative, necessary","dispensable","7"
"10","stage","名詞","舞台、ステージ","The actor stepped out onto the stage in front of the waiting audience.","その俳優は舞台に踏み出し、待ちわびている観客の前に登場した。","/stéidʒ/","phase, step","","2"
"11","indeed","副詞","確かに、本当に; 実は、実のところ","As you can tell by the smoke coming from my engine, it is indeed in need of repair.","エンジンが煙を噴いていることからも分かるように、間違いなく修理が必要だ。","/indí:d/","certainly, in fact, really","","3"
"12","inspiration","名詞","ひらめき、創造的刺激; 感化、刺激; 着想","The author couldn't write a word due to his lack of inspiration.","作家はひらめきを欠いて一文字たりとも筆を進めることができなかった。","/inspəréiʃən/","imagination, vision","","5"
"13","prescribe","動詞","(薬など)を処方する、指示する; ～を規定する、指図する","Ask the doctor to prescribe you some medicine for your sickness.","あなたの病気のための薬を処方してもらうよう医者に頼んでみて。","/priskráib/","","","7"
"14","raw","形容詞","生の、調理していない","Raw carrots contain more nutrients than cooked carrots.","生のニンジンは調理したニンジンより栄養価が高い。","/rɔː/","uncooked","cooked","2"
"15","association","名詞","つながり、連携、協力; 協会、組織","The town was made famous by its association with a popular football player.","この町は、著名なサッカー選手とのつながりによって有名になった。","/əsòusiéifən/","organisation, connection, affiliation","","4"
"16","simultaneously","副詞","同時に、一斉に","The match was broadcast simultaneously on TV and the internet.","試合はテレビとインターネットで同時中継された。","/sìməltéiniəsli/","currently","","6"
"17","proof","名詞","証拠、証拠となるもの、証明; 耐える、持ちこたえる","He'd lost his receipt so had no proof of purchase.","彼はレシートを紛失してしまったので、購入の証拠になるものが無かった。","/prú:f/","confirmation, evidence, verification","","2"
"18","balance","名詞","均衡、バランス、釣り合い; 差額、決算","The newspaper's focus on balance meant they highlighted both sides of the issue.","この新聞は、問題の両面を取り上げることを通じてバランスの取れた報道に重点を置いている。","/bæləns/","equilibrium, harmony, fairness","","2"
"19","censorship","名詞","検閲、検閲制度","Government censorship of controversial issues was causing unrest.","議論を呼ぶ問題に関する政府の検閲は不安を引き起こしていた。","/sénsəʃip/","suppression","","9"
"20","major","形容詞","大きい方の; 主要な; 専攻科目(課程)","It wasn't a small mistake but a major one that needed a lot of fixing.","それは小さな間違いではなく、かなりの修正を必要とする大きなものだった。","/méidʒə/","big, significant","minor","3"
"21","bend","動詞","屈折する; ～を曲げる、折り曲げる; ～を従わせる","The ability of light to bend is called diffraction.","光が屈折する力のことを回折という。","/bénd/","distort, deflect","","2"
"22","within","前置詞","～以内に; ～の内部で、～の中で","We must finalise this project within seven weeks after the conclusion of the contract.","契約締結後7週間以内に本プロジェクトを完遂しなければならない。","/wiðin, wiθin/","in the space of","","2"
"23","tension","名詞","緊張(関係)、緊迫","The border dispute increased tensions between the two nations.","国境の紛争は2カ国間の緊張を高めた。","/ténʃən/","pressure, strain","","4"
"24","interference","名詞","邪魔、妨害、干渉","The referee must stop a match if there is interference of play by the crowd.","群衆による競技妨害があった場合、審判は試合を止めなければならない。","/intəfíərəns/","obstacle, obstruction","","7"
"25","significant","形容詞","重要な、重大な; 大きな","The pay rise was significant, and he started planning to buy a new car.","昇給は大きな額だったので彼は新車の購入を検討し始めた。","/signífikənt/","important, major, meaningful","insignificant","4"
"26","priest","名詞","司祭、神父; 聖職者、僧侶","The priest celebrated High Mass in church.","司祭は教会で大ミサを祝った。","/prí:st/","cleric, monk, preacher, clergyman","","2"
"27","pirate","名詞","海賊; 著作権侵害者; ～の著作権を侵害する","The pirate stole the cargo from the ship without harming any passengers.","海賊は乗客を傷つけることなく船から積み荷を盗んだ。","/páirət/","buccaneer, bandit","","8"
"28","inadequate","形容詞","不十分な、不適当な、不適格な","Dehydration is caused by inadequate intake of water.","脱水症状は水分摂取が不十分なことにより引き起こされる。","/inædikwət/","insufficient, scarce","adequate","6"
"29","advocate","名詞/動詞","(主義などの)支持者; 弁護 / ～を主張(支持)する","He was a strong advocate for a more compassionate leadership style.","彼はより思いやりあるリーダーシップの流儀の強い支持者だった。","/ædvəkət/ (名), /ædvəkèit/ (動)","supporter, proponent, counsel / encourage, endorse","","8"
"30","compulsion","名詞","強制、無理強い; 衝動","Some experts believe that students learn more when they study out of choice, not compulsion.","学生は強制されるのではなく、進んで勉強すると知識を深められると考えている専門家もいる。","/kəmpʌ́lʃən/","coercion, duress","consent, permission","9"
"31","lifetime","名詞","一生、生涯; 寿命; 長い期間","At the funeral, they found out she had travelled to over 50 different countries in her lifetime.","葬儀では、彼女が生涯で50以上の国を旅したことを皆が知った。","/láiftàim/","life, duration","","4"
"32","concrete","形容詞","具体的な、具象の; コンクリート","He demonstrated this point with a concrete example.","彼はこのポイントについて具体的な例を示しながら説明した。","/kɔ́ŋkri:t/","actual, existent, solid, specific","","5"
"33","underestimate","動詞","～を過小評価する、見くびる","Underestimate your opponents and they may surprise and defeat you.","相手を見くびると、予想外の負けを喫することもある。","/ʌndəréstəmèit/","underrate, diminish, write off, scoff at","","8"
"34","pitch","名詞","（音の）高さ、調子、ピッチ","Only dogs could hear the very high pitch of the whistle.","犬だけが笛の甲高い音を聞くことができる。","/pitʃ/","frequency","","4"
